path	sha256	lines	bytes
.github/workflows/build.yml	13075ab8cf7c59fe0cd4dfee9f51211f73225e9e183a2b59333989aab7013ecc	305	12160
CMakeLists.txt	9ca1f6cd80cb89d774d0e00df0e1cadaf1cb1307f3c966026fd60e58070dd6af	229	7661
src/aboutdialog.cpp	b1514f4412c88d0852b09b0ab76f31048d91ae874fecba5f6e9144a6ab25ad0b	222	6390
src/aboutdialog.h	341a7da3ef1f1ddb32dc8f442dfb1baf36cb8ef5c83e3614e2bf717d936b4109	20	603
src/avbparser.cpp	56e7472a0288e334dc99998edc13636d216706315828bbb0e0fdc19ff560519e	1121	31363
src/avbparser.h	d6ae76ae575a4f028f8230ba0e7c7ff192d9bb7b1bc4d4c540249bf5c637f6ff	65	1822
src/avideffects.cpp	86784e93b4ac27ea8953c7c38621ce4f6c001d4beb80cfd3e31df48ffed3d217	168	5046
src/avideffects.h	e1d6d5099db0dc49fc8fd7e3a8c21b2f122c254ff0923542074bbfd9818517ef	41	1798
src/avideffectscatalogue.inc	9892afea9e724f7253a0021cfc1f8c4ade8202f0b6edaf6aef81b2dd5e135f05	889	65098
src/avidprecompute.h	4ff0c7e52fd8cbd1cc0900bc3638283ee6b69d05d72121f425d91c34af3748cd	38	1175
src/avidtext.h	19cd6e2d2a833efa74f07f28efa0c5b2daf69fa79172f785c7736ede8e5e5e62	68	2816
src/avidusage.h	2338ad737d20b8be37c95f52b60c17ce600fa4e55b1a690e1e2ede569c5a234c	109	3760
src/backgroundjob.h	8eaa0cc76d57ff8780d990f3d5dae0f77c54a7cb66549352ad472ce909fd8881	119	4317
src/bentofile.cpp	46270f36bfa96bb8057bd538d8a3919598653aae9eb727e130929a7a7889c50d	830	24183
src/bentofile.h	a8fadec805b1e570be1a7f1ea31f01af104cf691e57001a80dee79a521bc1bd6	114	4972
src/binfilter.h	589d6c256e46a164989d3bf2bd088e9c4749806c605301b00fff57d4ab853e04	61	1495
src/binfilterdialog.cpp	169a54db8aee169ab73ee97812927f008bfd1b1c27a0c05d2cce42a7b39d9fa4	873	27001
src/binfilterdialog.h	06e605a86bed91824643118ed665e3b6ac311f12ce9b71b2bb15891cb1d43a76	168	5236
src/conventions.h	984a2f45563266f696c4473804aa375a9499453b5a820353eb7b89864757092c	291	14982
src/crashcollector.cpp	d14e3c5ca0327e6c94e8e863e635bda3817f0e51502d492f1d99b10663c691f1	45	1245
src/crashcollector.h	83ae058da02ec570206ac98695548d76605e5d9956a72b6fd3a4d11a14427bdc	20	628
src/dragdroputil.h	7969fc86115a4b7bb23766eddf6722deb4a89be77d8b06f6653e5a79e5b7cac3	27	682
src/effectfilterdialog.cpp	4455db442738553da584734f5fb6755caf90b41df9133796827bd85d3e966ec4	278	10265
src/effectfilterdialog.h	e3c29f98baab94f3452b55ceb5e8feb5f976da6a453ddb5d960ccbebdda81c99	50	1478
src/enumutil.h	dd2cbfbbe8db0fa5686fa0c69eeb2f7de83fafbadcc3990d20831b3e0e25c254	16	324
src/fileidentity.cpp	1c86a19d3693e5bdf6b94107c8df8fde50505dd8178f219a038c5793e837cc91	365	13704
src/fileidentity.h	298d631d57e10a786d5fcdd7869f38f82e05af7c1c0f790140291267b3bafe76	189	8677
src/formatutil.h	c3b722d1ad6d744c8c2b0cad75b0085560ccb68fdc9ffd06fd61d2bc2d1000de	42	1135
src/icons.cpp	f0724f404b70a0724048e1e52a478ff9088a2b24cd2c6d1c9e229f44e179c397	43	1421
src/icons.h	373a678c256392a098ab2866e1c9d763685ae77ef766a0772cfbac15bea9eca0	18	462
src/layoututil.h	d8b8dd04e16c705b27932134f583ffdd32cb1e24fe3731789a1dc29ba8f2b494	27	750
src/logcategories.cpp	10d24945716cafcdaec807e6b8ef63cd4c879208be98f78514c572c52103120a	11	582
src/logcategories.h	31dc3c929d5b2f84e902cd1b4e3dad61ef0c3e42febb1c529fd9c38f93879ee9	22	882
src/logfile.cpp	743e4478628852cc53a6237b1b02dca896fcdf833edd72501b12fa4bc4459f7f	190	6188
src/logfile.h	4902167db3b91c60d00021770761c546e573fc62e718150d5a9d0f45c70b6bc2	31	1310
src/macaccessibilityguard.cpp	bcce56e5781c1a8cdcc58a83d3c6ff35363cde9497ddf79bcfac1dd5d3a872ac	57	2057
src/macaccessibilityguard.h	1c4d5187b9051a227d63a8d9d617ea2f45a87da40d075c64f0af7b1ee9c71c37	56	2843
src/main.cpp	7ee16f30edb3c11a0b88f129e5a29b59def959aa8b9b7a6e3b509c3407c09702	50	1346
src/mainwindow.cpp	52cc206ece5924b0e4e8714a3e27663f80bec455232b2c48a89108b9002ce317	2888	99367
src/mainwindow.h	c36a4c7b5a0177511ea150a75c185479086c0bd9898eda101046c320eb1504d4	322	11080
src/managemediadialog.cpp	4bdd437834c07464e72d860be8900aded4da137e844b9e5d9a31d63dfdd45127	722	22969
src/managemediadialog.h	aecd2ac7c3070321c0e6e1a382e812c5c0279485e37f6b050a0e8af467a464d9	156	4776
src/mdbparser.cpp	bc43aa990e8ec41d6f2ec1c6902e8023b2944401a6bf5db890d52b6ec8f9afb1	317	13480
src/mdbparser.h	506c25137312bb67e700d9ddaa9af87ea430e738764a15813cb961c0349174d5	97	4803
src/mediacsv.cpp	d0048601152b865eb4795cab18e84971f25d20a4cebf97bd2525d5b481c547c2	102	3804
src/mediacsv.h	aefa3b9d55fa4ab225cd97a6d2440e498a90e94e4614986ea64abd7f455ee9ce	40	1640
src/mediafile.h	84fefe21c137e66e709c002189d3e26165802164fcfd0a094024f6c2066bf358	488	19023
src/mediafilterproxy.cpp	65d65d6a2723d692f309b0bb06dbe1d29e1d2b436f4f2460b290a7e59a87b7f8	419	13684
src/mediafilterproxy.h	032636788e41e2ea8b396c7ba3e032ead7be6fc9a9fbba630b2027cda4260970	106	3953
src/mediascanner.cpp	076b29a2b8b3ef76263474dc9fc9e64da5dcbc4d52b4a36d8b89f4c92ebc5846	1508	53536
src/mediascanner.h	97c4b6a76917080ffb285ae6d3e885b51177479e34236ae423349a932d07204f	285	11484
src/mediatablemodel.cpp	c6706147804fe3a1915de9cc7abd392d0265db4fa033f180ec4ac55fe4a7363c	343	10509
src/mediatablemodel.h	76bdec579acfbda000042c3dadab874802c65c33d5ab3bd7d99ddc90cc1647f5	97	2520
src/mobid.h	3dc4aa91aeae277bef3098c75a4b43934aec45fcbbfab6a686ebb2195dc7736d	112	3798
src/mxfparser.cpp	3b07b0061fd3641c3ac949b641ee0a49684a8c108438f37c6447dd8fd422df25	1907	73072
src/mxfparser.h	dbb45daec48ce69804f6de329d87bd98a8482f605327894d6bc806198e523168	194	9831
src/mxfproperties.h	3ce1a810b7a67464d2c0114a7c9ca225d2299c5c8a67547a2765eadbb008e6c2	93	6076
src/nativefile.cpp	c60be91c6433e536ca11e772496c717952aab419729ebe9df5429ab6aa805dcb	236	8500
src/nativefile.h	609c1ab79b94520997365f992b739975d38ad2ae5506df1b518f9c4a216ca9b3	154	6860
src/omfobjects.cpp	84bf6e92e139ae242ea5d308ca78fcf782866159866662ecf4938d034253d261	861	33802
src/omfobjects.h	4d99807bdd959383512c4edacd99525bd1807af7db993967d3b3004ef6a920be	253	12337
src/omfparser.cpp	e9af0ae456bafab14dc6e2e0f6139316d48ad873670c3e0214565f0981546f3f	319	11922
src/omfparser.h	266f6a10388f7fcb93868500a5de09b70bb9b1b7f50b12c82a35b5defa8a5803	76	3556
src/omfresolutions.cpp	442a1d502a250054541ff3c4656930759fb859efb638b7342f74ed81849e77ea	139	5851
src/omfresolutions.h	97cf9b86d4cb0f4c5e999c356798d260bd8b01030a123e3519136c368ba3c6be	36	1990
src/omfuid.h	7746b2e7eebf4e48b299e9c09e2ab9acc8ee958bc51627b9e40c97623c7535ce	129	5735
src/opcopier.cpp	626190410fbd73e19a262726b709f0f1a1438770265d76140304b21d47e801eb	545	17711
src/opcopier.h	d7dee02140b0c440adf7a9ea974b167459371a94a508dd5b0e4e57e3dc4091f5	149	6277
src/opjournal.cpp	9f88798d6c485f18a62ee57560671ad18c9e43212da8ba9a6a9e017e6dc6cf1d	597	21098
src/opjournal.h	5a8646286e83b76d29c62d6594bacffb7df703892e38910b97121fb547fe4cf7	374	16220
src/opmanager.cpp	ecd557d65c1588e7f4dfdd953b0f878215c68ca74cd450e650ff27700425fbfd	106	2915
src/opmanager.h	08d7b7c7a77b2295107c195fde9a2bc5b9d6651f8ed7713bc7634dae39c7f90b	128	5447
src/oprequest.h	a023f2399096457f5b247af1b1fde1dbd43d7f78e840a9da2231aa761897bddf	172	5810
src/oprescue.cpp	e4690072c17c4a949c3ebe86e7f289c6aee4cb52db8ef963810fd2e19f4baa37	977	34164
src/oprescue.h	1bc6832fe5e32a7a039d5496c15d6a5383632c4ba86fcdef24135825ac8999ac	147	6279
src/oprunner.cpp	3efa7b3aa94eb45e796ac6c79a59b00f8e8650661112c99177b4df3bca4f9d79	1104	41174
src/oprunner.h	07710b6cdcb49c4416fbebbe28b15673a6c5c2974fa22a438a4c620391366f62	177	7539
src/opundo.cpp	0f61e146aae3a6c3ddd97622a60891f9c6d9e6f0f8d7a995e95f0f058d3466e5	647	21219
